,saa_objectives,grader_objectives,grader_greedy_objectives,grader_random_objectives
0,10.0,8.0,7.0,9.0
1,2.0,2.0,9.0,10.0
2,5.0,6.0,2.0,17.0
3,1.0,9.0,8.0,11.0
4,8.0,8.0,9.0,7.0
5,10.0,6.0,5.0,9.0
6,7.0,7.0,5.0,8.0
7,7.0,4.0,6.0,8.0
8,9.0,6.0,9.0,7.0
9,13.0,8.0,7.0,9.0
10,9.0,2.0,3.0,13.0
11,7.0,5.0,7.0,7.0
12,11.0,4.0,7.0,8.0
13,10.0,7.0,11.0,11.0
14,7.0,6.0,5.0,14.0
15,7.0,12.0,8.0,9.0
16,7.0,4.0,4.0,4.0
17,5.0,8.0,4.0,12.0
18,6.0,12.0,4.0,9.0
19,10.0,7.0,8.0,5.0
20,9.0,5.0,6.0,4.0
21,12.0,12.0,5.0,13.0
22,9.0,6.0,1.0,3.0
23,6.0,6.0,9.0,12.0
24,10.0,4.0,3.0,8.0
25,3.0,10.0,7.0,2.0
26,10.0,7.0,6.0,7.0
27,7.0,5.0,7.0,7.0
28,9.0,5.0,5.0,7.0
29,8.0,6.0,5.0,10.0
30,7.0,17.0,8.0,3.0
31,4.0,6.0,4.0,6.0
32,8.0,2.0,3.0,4.0
33,8.0,8.0,5.0,8.0
34,10.0,5.0,7.0,5.0
35,4.0,1.0,6.0,4.0
36,7.0,4.0,5.0,9.0
37,7.0,12.0,11.0,7.0
38,10.0,5.0,9.0,12.0
39,8.0,6.0,6.0,14.0
40,11.0,6.0,12.0,5.0
41,6.0,8.0,7.0,7.0
42,9.0,6.0,11.0,8.0
43,11.0,6.0,4.0,6.0
44,6.0,7.0,5.0,11.0
45,6.0,7.0,9.0,10.0
46,8.0,7.0,6.0,3.0
47,10.0,8.0,7.0,21.0
48,5.0,6.0,8.0,8.0
49,6.0,7.0,4.0,10.0
50,9.0,5.0,4.0,8.0
51,9.0,3.0,9.0,6.0
52,9.0,8.0,5.0,4.0
53,10.0,7.0,10.0,8.0
54,5.0,5.0,5.0,13.0
55,6.0,5.0,4.0,10.0
56,5.0,4.0,8.0,11.0
57,9.0,5.0,6.0,1.0
58,6.0,5.0,9.0,4.0
59,8.0,5.0,6.0,9.0
60,6.0,6.0,11.0,7.0
61,6.0,14.0,3.0,5.0
62,4.0,6.0,8.0,6.0
63,9.0,8.0,4.0,12.0
64,5.0,4.0,7.0,8.0
65,7.0,8.0,9.0,6.0
66,4.0,4.0,5.0,7.0
67,2.0,8.0,5.0,7.0
68,13.0,10.0,5.0,10.0
69,10.0,10.0,9.0,11.0
70,4.0,4.0,5.0,9.0
71,8.0,7.0,6.0,10.0
72,10.0,6.0,6.0,10.0
73,8.0,8.0,4.0,10.0
74,8.0,6.0,8.0,6.0
75,8.0,7.0,7.0,11.0
76,8.0,4.0,9.0,10.0
77,7.0,7.0,7.0,7.0
78,8.0,4.0,3.0,11.0
79,10.0,6.0,8.0,13.0
80,7.0,6.0,4.0,5.0
81,11.0,4.0,4.0,14.0
82,8.0,5.0,8.0,6.0
