,G,p,budget,from_cache,method,trial_id,I_size,v1_size,v2_size,num_cross_edges,maxD,mip_value,min_exposed_value,duration,v1_objective,greedy_overlap
0,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ca15.json,random,0,1217,6233,11135,16931,28,94.01532962975251,139.4,0.5696002379991114,661.9624073588452,1
1,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ca15.json,random,1,1217,6233,11135,16931,28,93.79701326459507,118.6,0.5740263659972697,661.9624073588452,5
2,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ca15.json,greedy_weighted,0,1217,6233,11135,16931,28,85.06909795752685,104.8,0.03278476299601607,661.9624073588452,-1
3,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ca15.json,greedy_weighted,1,1217,6233,11135,16931,28,85.06909795752685,120.8,0.032597223005723215,661.9624073588452,-1
4,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ca15.json,dependent,1,1217,6233,11135,16931,28,84.81944669305402,125.4,0.8082672420132441,661.9624073588452,64
5,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ca15.json,dependent,0,1217,6233,11135,16931,28,85.06842086221704,113.0,0.8370317440130748,661.9624073588452,63
6,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ca15.json,mip_gurobi,0,1217,6233,11135,16931,28,84.15600115225864,113.2,0.8327085679920856,661.9624073588452,72
7,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/qa7.json,random,1,2359,25664,32967,145552,59,527.7112754058292,1370.0,3.620265759993345,3733.6433699660333,2
8,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/qa7.json,random,0,2359,25664,32967,145552,59,527.7542228936846,1396.2,3.779771950008581,3733.6433699660333,1
9,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/qa7.json,greedy_weighted,1,2359,25664,32967,145552,59,502.9281263624746,1337.4,0.4873757830064278,3733.6433699660333,-1
10,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/qa7.json,greedy_weighted,0,2359,25664,32967,145552,59,502.9281263624746,1380.6,0.4959300730261021,3733.6433699660333,-1
11,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ca15.json,mip_gurobi,1,1217,6233,11135,16931,28,84.15600115225864,108.8,0.862364656990394,661.9624073588452,72
12,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/qa7.json,dependent,0,2359,25664,32967,145552,59,504.3773457626371,1369.0,6.8935466230032025,3733.6433699660333,45
13,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/qa7.json,dependent,1,2359,25664,32967,145552,59,503.9864247859242,1399.2,6.825117839005543,3733.6433699660333,43
14,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ma9.json,random,1,4854,31285,22040,82500,32,426.2610047492228,990.4,2.7470485249941703,5702.6895582166235,0
15,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ma9.json,random,0,4854,31285,22040,82500,32,426.1610999980818,973.4,2.876246893021744,5702.6895582166235,0
16,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ma9.json,greedy_weighted,1,4854,31285,22040,82500,32,412.960816746154,972.0,0.5071739709819667,5702.6895582166235,-1
17,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ma9.json,dependent,0,4854,31285,22040,82500,32,412.06994029783175,956.8,6.020454891986447,5702.6895582166235,33
18,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ma9.json,greedy_weighted,0,4854,31285,22040,82500,32,412.960816746154,952.0,0.4953891740005929,5702.6895582166235,-1
19,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ma9.json,dependent,1,4854,31285,22040,82500,32,411.7504067458622,945.8,5.695558656996582,5702.6895582166235,32
20,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/qa7.json,mip_gurobi,0,2359,25664,32967,145552,59,497.959797908771,1340.0,13.710340866993649,3733.6433699660333,56
21,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/pa10.json,random,0,5772,26012,16285,42903,31,294.14998752953517,556.0,1.926112843997544,4839.6476873533065,1
22,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/qa7.json,mip_gurobi,1,2359,25664,32967,145552,59,497.959797908771,1393.6,14.214939807017801,3733.6433699660333,56
23,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/pa10.json,random,1,5772,26012,16285,42903,31,294.0344647786515,541.6,1.9349381289794108,4839.6476873533065,0
24,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/pa10.json,greedy_weighted,0,5772,26012,16285,42903,31,283.90159318974935,508.6,0.43575817899545655,4839.6476873533065,-1
25,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/pa10.json,greedy_weighted,1,5772,26012,16285,42903,31,283.90159318974935,518.2,0.5801390039850958,4839.6476873533065,-1
26,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/pa10.json,dependent,0,5772,26012,16285,42903,31,283.219597999546,529.8,3.476883678988088,4839.6476873533065,38
27,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ma9.json,mip_gurobi,1,4854,31285,22040,82500,32,407.8421017687773,945.4,8.959507313993528,5702.6895582166235,45
28,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ma9.json,mip_gurobi,0,4854,31285,22040,82500,32,407.8421017687773,955.0,10.365061871008947,5702.6895582166235,45
29,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/pa10.json,dependent,1,5772,26012,16285,42903,31,282.86832960533013,521.8,3.363278111006366,4839.6476873533065,39
30,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/pa10.json,mip_gurobi,0,5772,26012,16285,42903,31,280.46281912251675,527.2,4.733665867999663,4839.6476873533065,45
31,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ja11.json,greedy_weighted,0,5736,26662,16890,47422,27,304.2527263110032,576.8,0.4749248229782097,5014.496635983515,-1
32,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ja11.json,random,0,5736,26662,16890,47422,27,314.46033633432523,606.0,3.2318693599954718,5014.496635983515,0
33,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ba8.json,random,1,3114,28438,29580,130230,45,517.4696704859018,1357.2,4.613985011004843,4521.7767861952225,0
34,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ja11.json,greedy_weighted,1,5736,26662,16890,47422,27,304.2527263110032,572.6,0.6274984779884107,5014.496635983515,-1
35,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ja11.json,random,1,5736,26662,16890,47422,27,314.48487095336014,621.8,2.7432205060031265,5014.496635983515,0
36,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ba8.json,random,0,3114,28438,29580,130230,45,516.9727944360196,1366.0,4.100742084003286,4521.7767861952225,1
37,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ja11.json,dependent,0,5736,26662,16890,47422,27,303.2060602792278,572.4,3.3827280279947445,5014.496635983515,28
38,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/pa10.json,mip_gurobi,1,5772,26012,16285,42903,31,280.46281912251675,527.4,5.600406174984528,4839.6476873533065,45
39,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ja11.json,dependent,1,5736,26662,16890,47422,27,303.8582145466857,588.4,3.410544541984564,5014.496635983515,28
40,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/nb15.json,random,0,1584,7527,12026,19278,27,108.63920015839287,159.4,0.9983480329974554,846.4611357022759,2
41,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ba8.json,greedy_weighted,0,3114,28438,29580,130230,45,496.9906993558557,1274.0,0.6869210309814662,4521.7767861952225,-1
42,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ba8.json,greedy_weighted,1,3114,28438,29580,130230,45,496.9906993558557,1295.6,0.515863419015659,4521.7767861952225,-1
43,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/nb15.json,random,1,1584,7527,12026,19278,27,108.60958060787941,158.0,1.1116651030024514,846.4611357022759,0
44,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/nb15.json,dependent,0,1584,7527,12026,19278,27,100.02249888070992,143.4,1.2747018689988179,846.4611357022759,57
45,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ya7.json,greedy_weighted,0,3014,28425,29804,130469,44,508.97630321432695,1317.8,0.5690454939904157,4542.969721919793,-1
46,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ba8.json,dependent,1,3114,28438,29580,130230,45,497.92970467608086,1302.6,8.131966147979256,4521.7767861952225,37
47,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ya7.json,random,0,3014,28425,29804,130469,44,528.8399380695741,1345.4,5.39513451201492,4542.969721919793,0
48,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ja11.json,mip_gurobi,0,5736,26662,16890,47422,27,300.20203635146225,607.2,5.902599802007898,5014.496635983515,43
49,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ba8.json,dependent,0,3114,28438,29580,130230,45,498.024228826304,1345.6,7.927018868009328,4521.7767861952225,36
