,G,p,budget,from_cache,method,trial_id,min_exposed_value,mip_value,greedy_intersection,maxD,I_size,v1_size,v2_size,num_cross_edges,duration,updated_MIP
0,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ca15.json,random,1,"(118.8, 12.517987058628878)",90.85090368917265,25,28,1217,6233,11135,16931,0.8832420350008761,752.8133110480179
1,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ca15.json,random,0,"(123.6, 9.50263121456368)",90.71655974537258,20,28,1217,6233,11135,16931,0.8853969009996945,752.6789671042178
2,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ca15.json,dependent,0,"(95.2, 14.078352176302452)",69.44266674614695,256,28,1217,6233,11135,16931,1.1481500339996271,731.4050741049922
3,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ca15.json,dependent,1,"(96.6, 11.567194992737004)",69.4912441630174,252,28,1217,6233,11135,16931,1.222074748999148,731.4536515218626
4,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ca15.json,greedy_weighted,0,"(93.2, 11.966620241321273)",71.08456659424789,-1,28,1217,6233,11135,16931,0.032429180000690394,733.0469739530931
5,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/qa7.json,random,0,"(1396.6, 34.60202306224305)",526.1401509258652,6,59,2359,25664,32967,145552,3.96013340799982,4259.7835208919
6,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ca15.json,mip_gurobi,0,"(94, 14.035668847618199)",68.2968941679694,273,28,1217,6233,11135,16931,1.2886059449992902,730.2593015268146
7,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/qa7.json,random,1,"(1399.2, 30.35951251255527)",525.9137808737905,4,59,2359,25664,32967,145552,4.108805210000355,4259.557150839824
8,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ca15.json,mip_gurobi,1,"(96, 1.0)",68.2968941679694,273,28,1217,6233,11135,16931,1.3317584370015538,730.2593015268146
9,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ca15.json,greedy_weighted,1,"(87.8, 9.391485505499118)",71.08456659424789,-1,28,1217,6233,11135,16931,0.03330135999931372,733.0469739530931
10,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/qa7.json,greedy_weighted,0,"(1233, 53.39007398384086)",465.0484413672326,-1,59,2359,25664,32967,145552,0.16391668500000378,4198.691811333267
11,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/qa7.json,greedy_weighted,1,"(1242.2, 49.25139591930365)",465.0484413672326,-1,59,2359,25664,32967,145552,0.17917720999867015,4198.691811333267
12,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/qa7.json,dependent,0,"(1308, 48.181946826586405)",470.662271397831,169,59,2359,25664,32967,145552,8.673321932999897,4204.305641363865
13,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/qa7.json,dependent,1,"(1257, 45.447772222629354)",469.63173416757485,181,59,2359,25664,32967,145552,8.775388879001184,4203.275104133609
14,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ma9.json,random,0,"(987.4, 16.50151508195535)",423.92363653734617,4,32,4854,31285,22040,82500,3.0227078999996597,6126.613194753971
15,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ma9.json,random,1,"(976.2, 27.689348132449776)",424.3993708692117,3,32,4854,31285,22040,82500,3.0627654100007926,6127.088929085836
16,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ma9.json,dependent,0,"(932, 20.77257807784099)",387.03182809128054,123,32,4854,31285,22040,82500,7.417994646000808,6089.721386307905
17,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ma9.json,greedy_weighted,0,"(892.4, 25.422431040323428)",390.6097814081847,-1,32,4854,31285,22040,82500,0.5211673100002372,6093.299339624809
18,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/pa10.json,random,0,"(540.8, 16.037456157383563)",292.74695890633666,1,31,5772,26012,16285,42903,2.7353169210000488,5132.394646259642
19,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ma9.json,greedy_weighted,1,"(859.2, 14.652644812456213)",390.6097814081847,-1,32,4854,31285,22040,82500,0.6798527379996813,6093.299339624809
20,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/pa10.json,greedy_weighted,0,"(478.6, 17.09678332318685)",263.5078706081158,-1,31,5772,26012,16285,42903,0.20939548700152955,5103.155557961421
21,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ma9.json,dependent,1,"(919.8, 36.23810149552539)",385.54300059333946,151,32,4854,31285,22040,82500,8.768614728000102,6088.232558809964
22,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/pa10.json,dependent,0,"(493.6, 24.865638942122523)",261.03806571077087,178,31,5772,26012,16285,42903,3.629236872000547,5100.685753064076
23,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/pa10.json,random,1,"(542.6, 18.70294094520966)",291.6712958212508,7,31,5772,26012,16285,42903,2.603566302999752,5131.318983174557
24,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/pa10.json,greedy_weighted,1,"(468.4, 24.378269011560278)",263.5078706081158,-1,31,5772,26012,16285,42903,0.20582649999960267,5103.155557961421
25,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/pa10.json,dependent,1,"(476.2, 12.132600710482482)",260.5389573656587,167,31,5772,26012,16285,42903,3.463385107999784,5100.186644718964
26,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ja11.json,random,0,"(598.6, 22.187834504520715)",312.40347891279043,4,27,5736,26662,16890,47422,2.5180330539988063,5326.900114896305
27,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ba8.json,random,0,"(1362, 61.84658438426491)",514.713135134558,3,45,3114,28438,29580,130230,4.578157775000364,5036.489921329781
