,G,p,method,budget,from_cache,value,isOptimal,maxD,duration,I_size
0,montgomery,0.078,dependent,400,ca15.json,626.8213831449166,-1,28,1.2793500423431396,1217
1,montgomery,0.078,dependent,400,ca15.json,626.8296392889173,-1,28,1.2764976024627686,1217
2,montgomery,0.078,dependent,400,nb15.json,801.1740600801927,-1,27,3.017584562301636,1584
3,montgomery,0.078,dependent,400,nb15.json,801.0945393047596,-1,27,3.2607100009918213,1584
4,montgomery,0.078,dependent,400,qa7.json,4003.907516185621,-1,59,10.394865036010742,2359
5,montgomery,0.078,dependent,400,qa7.json,4002.559627408496,-1,59,11.22074007987976,2359
6,montgomery,0.078,dependent,400,ma9.json,5852.597137651109,-1,32,10.900797367095947,4854
7,montgomery,0.078,dependent,400,pa10.json,4871.4237227971835,-1,31,10.630739212036133,5772
8,montgomery,0.078,dependent,400,ma9.json,5854.180029382195,-1,32,11.259536743164062,4854
9,montgomery,0.078,dependent,400,sb14.json,1341.5191192993266,-1,31,3.3132970333099365,2393
10,montgomery,0.078,dependent,400,pa10.json,4871.568053110477,-1,31,11.624650478363035,5772
11,montgomery,0.078,dependent,400,ja11.json,5070.436993992582,-1,27,11.24178147315979,5736
12,montgomery,0.078,dependent,400,sb14.json,1341.1224691092098,-1,31,3.803372859954834,2393
13,montgomery,0.078,dependent,400,ta16.json,274.9116405359276,-1,28,1.0377702713012695,609
14,montgomery,0.078,dependent,400,ja11.json,5069.794420522402,-1,27,12.14602255821228,5736
15,montgomery,0.078,dependent,400,ta16.json,274.9069801919271,-1,28,1.6353063583374023,609
16,montgomery,0.078,dependent,400,jb14.json,1334.5215616676594,-1,30,4.550549983978272,2465
17,montgomery,0.078,dependent,400,jb14.json,1334.3347192817846,-1,30,5.28392219543457,2465
18,montgomery,0.078,dependent,400,ba8.json,4781.847244411507,-1,45,14.972622632980347,3114
19,montgomery,0.078,dependent,400,ba8.json,4782.722252969706,-1,45,16.36792802810669,3114
20,montgomery,0.078,dependent,400,ya7.json,4811.315548895435,-1,44,17.79250431060791,3014
21,montgomery,0.078,dependent,400,ya7.json,4812.918171423304,-1,44,18.9210045337677,3014
22,montgomery,0.078,dependent,400,za14.json,846.7915033003055,-1,29,3.622072458267212,1687
23,montgomery,0.078,dependent,400,za14.json,846.610341292234,-1,29,4.813057899475098,1687
24,montgomery,0.078,dependent,400,jb12.json,4030.479058634598,-1,21,15.70418930053711,5490
25,montgomery,0.078,dependent,400,oa12.json,2322.750787414365,-1,24,12.840702772140505,3800
26,montgomery,0.078,dependent,400,jb12.json,4030.151169795636,-1,21,18.399797439575195,5490
27,montgomery,0.078,dependent,400,oa12.json,2322.6204828875493,-1,24,11.636682510375975,3800
28,montgomery,0.078,dependent,400,lb9.json,5198.615710911756,-1,40,21.495742559432983,3788
29,montgomery,0.078,dependent,400,zb9.json,6093.096503774388,-1,38,23.939797401428226,5181
30,montgomery,0.078,dependent,400,ob5.json,1204.458517397007,-1,60,15.872649431228638,560
31,montgomery,0.078,dependent,400,ob5.json,1204.8435832990851,-1,60,15.347055196762085,560
32,montgomery,0.078,dependent,400,lb9.json,5199.717930142315,-1,40,22.929383039474487,3788
33,montgomery,0.078,dependent,400,fa13.json,1261.2212914806282,-1,30,5.261251211166382,2317
34,montgomery,0.078,dependent,400,fa13.json,1261.2170835122595,-1,30,7.779987335205077,2317
35,montgomery,0.078,dependent,400,zb9.json,6092.997330992271,-1,38,26.254982233047485,5181
36,montgomery,0.078,dependent,400,va14.json,861.1087989196776,-1,27,3.5172860622406006,1674
37,montgomery,0.078,dependent,400,va14.json,860.5612207814246,-1,27,3.763647794723511,1674
38,montgomery,0.078,dependent,400,eb11.json,3787.492700151744,-1,26,18.551192760467533,5118
39,montgomery,0.078,dependent,400,eb11.json,3787.842857968045,-1,26,17.246439218521118,5118
40,montgomery,0.078,dependent,400,tb15.json,424.5790348799068,-1,23,3.3118932247161865,885
41,montgomery,0.078,dependent,400,ka9.json,6049.990315887812,-1,29,22.015503883361816,4830
42,montgomery,0.078,dependent,400,tb15.json,424.48177605590655,-1,23,3.7120363712310787,885
43,montgomery,0.078,dependent,400,fb11.json,3016.253275729701,-1,27,10.349084377288818,4600
44,montgomery,0.078,dependent,400,ka9.json,6049.749351058987,-1,29,24.23318290710449,4830
45,montgomery,0.078,dependent,400,rb5.json,2848.908127041597,-1,55,41.19684195518494,1571
46,montgomery,0.078,dependent,400,fb11.json,3015.9998835213105,-1,27,11.106249570846558,4600
47,montgomery,0.078,dependent,400,sb16.json,334.6796643839233,-1,31,2.158072233200073,724
48,montgomery,0.078,dependent,400,la5.json,2006.1858446960327,-1,63,17.01286792755127,1024
49,montgomery,0.078,dependent,400,rb5.json,2846.6005462366143,-1,55,43.12034678459168,1571
50,montgomery,0.078,dependent,400,sb16.json,334.77549955192393,-1,31,1.6035377979278564,724
51,montgomery,0.078,dependent,400,la5.json,2003.3033624731656,-1,63,19.85159468650818,1024
52,montgomery,0.078,dependent,400,ob14.json,1080.574983311131,-1,26,4.205331802368163,2079
53,montgomery,0.078,dependent,400,ob14.json,1080.365416985304,-1,26,3.5198171138763428,2079
54,montgomery,0.078,dependent,400,pa11.json,3289.1002867685042,-1,22,9.767610549926758,4795
55,montgomery,0.078,dependent,400,pa11.json,3289.5900711265285,-1,22,8.889152765274046,4795
56,montgomery,0.078,dependent,400,eb8.json,5548.528876855192,-1,38,20.824527502059933,4030
57,montgomery,0.078,dependent,400,eb8.json,5547.535820400547,-1,38,27.339965343475342,4030
58,montgomery,0.078,dependent,400,na8.json,4369.299636728761,-1,50,24.770715713500977,2718
59,montgomery,0.078,dependent,400,na8.json,4367.4635702514415,-1,50,23.664209842681885,2718
60,montgomery,0.078,dependent,400,zb14.json,825.1959559668585,-1,22,3.3927218914031982,1591
61,montgomery,0.078,dependent,400,zb14.json,825.3672507302483,-1,22,4.624840974807738,1591
62,montgomery,0.078,dependent,400,ub5.json,1381.7807971286184,-1,76,19.001056194305423,674
63,montgomery,0.078,dependent,400,rb7.json,5563.227165787852,-1,39,28.73126769065857,3943
64,montgomery,0.078,dependent,400,vb6.json,2138.770546124699,-1,63,24.19869685173035,1114
65,montgomery,0.078,dependent,400,la10.json,5022.364363865199,-1,26,26.433360815048214,5852
66,montgomery,0.078,dependent,400,ub5.json,1382.2840850708262,-1,76,23.177685260772705,674
67,montgomery,0.078,dependent,400,la10.json,5022.361022628698,-1,26,27.94755506515503,5852
68,montgomery,0.078,dependent,400,rb7.json,5563.088064512373,-1,39,31.975527048110962,3943
69,montgomery,0.078,dependent,400,ya6.json,3250.641468999319,-1,51,53.32741665840149,1790
70,montgomery,0.078,dependent,400,vb6.json,2140.014522604725,-1,63,24.956194400787354,1114
71,montgomery,0.078,dependent,400,ka8.json,5143.652421882776,-1,46,30.79355478286743,3491
72,montgomery,0.078,dependent,400,ka8.json,5142.354585588423,-1,46,31.01540017127991,3491
73,montgomery,0.078,dependent,400,ya6.json,3249.7773009332723,-1,51,54.91575312614441,1790
74,montgomery,0.078,dependent,400,sb13.json,2395.0088741785216,-1,25,14.531650066375732,3785
75,montgomery,0.078,dependent,400,sb13.json,2394.727851391839,-1,25,12.259420394897461,3785
76,montgomery,0.078,dependent,400,aa5.json,1185.164227191989,-1,72,15.621285676956177,565
77,montgomery,0.078,dependent,400,ta12.json,3723.5360625478475,-1,29,20.699827194213867,5172
78,montgomery,0.078,dependent,400,aa5.json,1185.0673862001272,-1,72,19.18423342704773,565
79,montgomery,0.078,dependent,400,ta12.json,3723.003704211441,-1,29,20.698397874832157,5172
80,montgomery,0.078,dependent,400,bb7.json,4664.246909681096,-1,51,26.15950131416321,2985
81,montgomery,0.078,dependent,400,bb7.json,4662.138616388072,-1,51,25.915700435638428,2985
82,montgomery,0.078,dependent,400,fa5.json,1916.746620726232,-1,61,10.750635623931883,983
83,montgomery,0.078,dependent,400,fa5.json,1916.36984224444,-1,61,12.039167642593384,983
84,montgomery,0.078,dependent,400,sa11.json,5072.44946596997,-1,28,14.106115818023682,5865
85,montgomery,0.078,dependent,400,sa11.json,5071.5507657328835,-1,28,17.27563786506653,5865
86,montgomery,0.078,dependent,400,fa10.json,5315.741550833274,-1,28,17.958807945251465,6046
87,montgomery,0.078,dependent,400,oa13.json,1268.7144507696644,-1,24,8.145577430725098,2315
88,montgomery,0.078,dependent,400,yb5.json,1638.573691091,-1,61,14.425210952758787,792
89,montgomery,0.078,dependent,400,ma7.json,3988.4164431834174,-1,47,20.297741889953613,2329
90,montgomery,0.078,dependent,400,ib8.json,5633.43415963304,-1,38,17.62589883804321,4207
91,montgomery,0.078,dependent,400,ib8.json,5633.414819575579,-1,38,18.76109862327576,4207
92,montgomery,0.078,dependent,400,oa13.json,1269.249243865638,-1,24,7.57512354850769,2315
93,montgomery,0.078,dependent,400,yb5.json,1636.4173401050332,-1,61,16.75967788696289,792
94,montgomery,0.078,dependent,400,ma7.json,3989.6607811828303,-1,47,21.66566252708435,2329
95,montgomery,0.078,dependent,400,ya8.json,5972.544831830755,-1,36,18.83492994308472,4478
96,montgomery,0.078,dependent,400,fa10.json,5315.546813936548,-1,28,21.007997512817386,6046
97,montgomery,0.078,dependent,400,na15.json,654.9321193575263,-1,28,4.211968898773193,1308
98,montgomery,0.078,dependent,400,ya8.json,5972.658629469582,-1,36,20.243673086166385,4478
99,montgomery,0.078,dependent,400,na15.json,654.9774435170307,-1,28,4.624292135238648,1308
100,montgomery,0.078,dependent,400,xa11.json,3409.282491392365,-1,22,15.499883651733398,5004
101,montgomery,0.078,dependent,400,xa11.json,3408.898471779413,-1,22,17.505762815475464,5004
102,montgomery,0.078,dependent,400,ia9.json,6007.405235645335,-1,32,19.61611533164978,4897
103,montgomery,0.078,dependent,400,ia9.json,6007.136850759184,-1,32,23.74728560447693,4897
104,montgomery,0.078,dependent,400,ra5.json,1488.6216127698126,-1,70,16.888797521591187,691
105,montgomery,0.078,dependent,400,rb6.json,4206.222031584718,-1,49,26.62043857574463,2542
106,montgomery,0.078,dependent,400,ca12.json,3778.1451129683796,-1,31,21.29714298248291,5210
107,montgomery,0.078,dependent,400,ca12.json,3778.326258565509,-1,31,21.194391012191765,5210
108,montgomery,0.078,dependent,400,rb6.json,4207.406421420055,-1,49,28.935107946395874,2542
109,montgomery,0.078,dependent,400,ra5.json,1488.4218616450462,-1,70,20.15277647972107,691
110,montgomery,0.078,dependent,400,zb15.json,421.57576866902735,-1,24,1.3217453956604004,890
111,montgomery,0.078,dependent,400,zb15.json,421.599108931637,-1,24,2.0331714153289795,890
112,montgomery,0.078,dependent,400,xb11.json,6053.821873707051,-1,29,24.107078790664676,5632
113,montgomery,0.078,dependent,400,db13.json,1941.254911805496,-1,32,13.86661982536316,3373
114,montgomery,0.078,dependent,400,ia5.json,1547.602892775047,-1,62,25.58183670043945,757
115,montgomery,0.078,dependent,400,fb13.json,936.7756081711391,-1,26,13.071125984191895,1773
116,montgomery,0.078,dependent,400,db13.json,1940.9881315568664,-1,32,20.92370057106018,3373
117,montgomery,0.078,dependent,400,xb11.json,6053.452827127265,-1,29,41.75907111167908,5632
118,montgomery,0.078,dependent,400,zb10.json,5568.512753496726,-1,33,31.42961359024048,5901
119,montgomery,0.078,dependent,400,fb13.json,936.9028824254044,-1,26,17.270896196365356,1773
120,montgomery,0.078,dependent,400,jb7.json,2802.753622789135,-1,51,67.41288328170775,1517
121,montgomery,0.078,dependent,400,ia5.json,1547.5904200387274,-1,62,39.11130380630493,757
122,montgomery,0.078,dependent,400,jb7.json,2803.5652943231016,-1,51,70.66804480552673,1517
123,montgomery,0.078,dependent,400,zb10.json,5569.069328918841,-1,33,53.10565972328186,5901
